FECHA (YYMMDD),HORA (HHMM),Unnamed: 2,Unnamed: 3
220115,1300,"9,40668",
220115,1400,"9,5975",
220115,1500,"9,86667",
220115,1600,"9,91",
220115,1700,"8,67751",
220115,1800,"9,03934",
220115,1900,"7,21442",
220115,2000,"5,59242",
220115,2100,"5,31225",
220115,2200,"4,943",
220115,2300,"5,128",
220116,0,"4,86575",
220116,100,"4,03383",
220116,200,"3,63383",
220116,300,"3,28417",
220116,400,"3,12592",
220116,500,"3,21633",
220116,600,"4,27842",
220116,700,"5,94433",
220116,800,"6,68409",
220116,900,"8,1731",
220116,1000,"8,91499",
220116,1100,"9,61833",
220116,1200,"10,9617",
220116,1300,"11,4708",
220116,1400,"11,7558",
220116,1500,"11,805",
220116,1600,"11,615",
220116,1700,"11,2225",
220116,1800,"9,93167",
220116,1900,"8,92667",
220116,2000,"7,25792",
220116,2100,"6,28658",
220116,2200,"5,65158",
220116,2300,"5,44642",
220117,0,"4,89067",
220117,100,"4,54925",
220117,200,"3,50717",
220117,300,"2,13525",
220117,400,"1,69592",
220117,500,"1,22333",
220117,600,"2,38167",
220117,700,"5,06575",
220117,800,"7,49025",
220117,900,"9,43832",
220117,1000,"11,4408",
220117,1100,"13,2892",
220117,1200,"14,3317",
220117,1300,"15,1142",
220117,1400,"15,8283",
220117,1500,"15,4667",
220117,1600,"16,0383",
220117,1700,"16,78",
220117,1800,"15,1075",
220117,1900,"15,2225",
220117,2000,"12,8708",
220117,2100,"11,255",
220117,2200,"10,26",
220117,2300,"9,0675",
220118,0,"6,99567",
220118,100,"5,32108",
220118,200,"4,69558",
220118,300,"3,69725",
220118,400,"2,851",
220118,500,"2,21483",
220118,600,"3,77525",
220118,700,"6,15633",
220118,800,"9,8475",
220118,900,"12,7133",
220118,1000,"15,0158",
220118,1100,"16,9125",
220118,1200,"18,155",
220118,1300,"19,0892",
220118,1400,"19,8025",
220118,1500,"20,3133",
220118,1600,"20,54",
220118,1700,"20,855",
220118,1800,"20,3258",
220118,1900,"19,1975",
220118,2000,"16,9142",
220118,2100,"14,8408",
220118,2200,"13,4917",
220118,2300,"12,0192",
220119,0,"9,64169",
220119,100,"8,05659",
220119,200,"7,45051",
220119,300,"6,71051",
220119,400,"5,87693",
220119,500,"5,2205",
220119,600,"6,22293",
220119,700,"9,42502",
220119,800,"11,46",
220119,900,"14,1",
220119,1000,"17,0625",
220119,1100,"19,9425",
220119,1200,"23,1908",
220119,1300,"25,0167",
220119,1400,"25,7958",
220119,1500,"26,2217",
220119,1600,"26,3017",
220119,1700,"26,7675",
220119,1800,"25,2517",
220119,1900,"23,8508",
220119,2000,"21,3017",
220119,2100,"18,5633",
220119,2200,"17,4292",
220119,2300,"15,5383",
220120,0,"14,3958",
220120,100,"12,8967",
220120,200,"12,5367",
220120,300,"11,9965",
220120,400,"11,14",
220120,500,"11,1942",
220120,600,"11,205",
220120,700,"12,4942",
220120,800,"14,6317",
220120,900,"17,3892",
220120,1000,"20,1125",
220120,1100,"21,435",
220120,1200,"22,2742",
220120,1300,"22,2633",
220120,1400,"20,8717",
220120,1500,"19,2242",
220120,1600,"14,7625",
220120,1700,"13,7292",
220120,1800,"13,2617",
220120,1900,"12,3417",
220120,2000,"11,9542",
220120,2100,"11,7533",
220120,2200,"11,3733",
220120,2300,"10,7625",
220121,0,"10,2558",
220121,100,"10,3317",
220121,200,"10,2025",
220121,300,"10,1442",
220121,400,"10,2892",
220121,500,"10,3308",
220121,600,"11,04",
220121,700,"12,16",
220121,800,"12,1742",
220121,900,"14,0542",
220121,1000,"14,94",
220121,1100,"15,1533",
220121,1200,"14,635",
220121,1300,"15,6258",
220121,1400,"16,9734",
220121,1500,"17,5533",
220121,1600,"16,2617",
220121,1700,"15,6392",
220121,1800,"15,0017",
220121,1900,"14,1217",
220121,2000,"12,7058",
220121,2100,"11,6892",
220121,2200,"11,3225",
220121,2300,"11,185",
220122,0,"11,3842",
220122,100,"11,315",
220122,200,"10,9958",
220122,300,"10,5958",
220122,400,"10,2267",
220122,500,"9,82587",
220122,600,"9,78003",
220122,700,"10,2975",
220122,800,"11,5033",
220122,900,"13,8225",
220122,1000,"14,68",
220122,1100,"14,9133",
220122,1200,"15,0467",
220122,1300,"16,045",
220122,1400,"16,3483",
220122,1500,"14,7342",
220122,1600,"14,4492",
220122,1700,"13,1892",
220122,1800,"11,9125",
220122,1900,"11,2842",
220122,2000,"10,63",
220122,2100,"9,71417",
220122,2200,"9,36082",
